"site","treatment","N","density_turb_adult_PercChange","sd","se","ci"
"Ava_Iti_East","Palatable",4,-40,48.9897948556636,24.4948974278318,77.9536958175066
"Ava_Iti_East","Unpalatable",6,1.57291872978147,15.0596015962156,6.14805660672189,15.8040826377031
"Ava_Iti_West","Palatable",2,-75,35.3553390593274,25,317.655118404367
"Ava_Iti_West","Unpalatable",6,-5.66657095033532,10.0586033876846,4.10640763747626,10.5558568826147
"MRB","Palatable",0,NA,NA,NA,NA
"MRB","Unpalatable",6,-24.8597883597884,11.0012730506227,4.4912509158429,11.5451280235507
"Pharmacy_East","Palatable",3,-66.6666666666667,57.7350269189626,33.3333333333333,143.421757658315
"Pharmacy_East","Unpalatable",6,-37.4583262217671,20.7950030621894,8.48952445032963,21.8230173452077
"Pharmacy_West","Palatable",6,-100,0,0,0
"Pharmacy_West","Unpalatable",6,-83.6386554621849,22.3819455471803,9.13739100689163,23.4884113474222
