Site,Site_survey,Date,Survey,Distance,Area
166,166_1,7/16/2017,1,220,1100
163,163_1,7/16/2017,1,67,335
186,186_1,7/16/2017,1,101,505
175,175_1,7/16/2017,1,28,140
182,182_1,7/16/2017,1,224,1120
176,176_1,7/16/2017,1,79.29315215,396.4657607
148,148_1,7/19/2017,1,142.9458264,714.7291318
152,152_1,7/19/2017,1,152.0466445,760.2332225
160,160_1,7/20/2017,1,183.9045363,919.5226817
159,159_1,7/20/2017,1,65.26727674,326.3363837
150,150_1,7/20/2017,1,157.9516836,789.758418
146,146_1,7/20/2017,1,86.96838139,434.841907
145,145_1,7/20/2017,1,149.2434022,746.2170112
134,134_1,7/23/2017,1,150.827217,754.1360852
133,133_1,7/23/2017,1,141.5763921,707.8819604
136,136_1,7/23/2017,1,97.68093837,488.4046918
126,126_1,7/23/2017,1,82.85253172,414.2626586
132,132_1,7/23/2017,1,164.9766264,824.8831321
139,139_1,7/23/2017,1,62.21793906,311.0896953
144,144_1,7/23/2017,1,130.3615625,651.8078125
146,146_2,7/24/2017,2,67.52912801,337.6456401
152,152_2,7/24/2017,2,144.5607439,722.8037193
150,150_2,7/24/2017,2,101.7782057,508.8910285
159,159_2,7/24/2017,2,66.18089567,330.9044784
160,160_2,7/24/2017,2,67.89822513,339.4911256
182,182_2,7/24/2017,2,208.1397055,1040.698528
186,186_2,7/24/2017,2,52.77527721,263.8763861
163,163_2,7/25/2017,2,117.47,587.35
166,166_2,7/25/2017,2,57.768223,288.841115
133,133_2,7/26/2017,2,54.00728017,270.0364009
134,134_2,7/26/2017,2,67.33734143,336.6867071
126,126_2,7/26/2017,2,68.64158782,343.2079391
132,132_2,7/26/2017,2,80.26801034,401.3400517
139,139_2,7/26/2017,2,57.10291282,285.5145641
136,136_2,7/26/2017,2,99.54348368,497.7174184
144,144_2,7/26/2017,2,67.39169972,336.9584986
145,145_2,7/26/2017,2,40.52909175,202.6454587
148,148_2,7/26/2017,2,57.0694366,285.347183
175,175_2,8/5/2017,2,34.91153241,174.5576621
176,176_2,8/5/2017,2,82.14026889,410.7013445
