"Site","Habitat","N","Grazing","SD","SE","CI"
126,"Fringe",10,23.1,31.306548835667,9.9,22.3953559117022
132,"Midlagoon",10,83.1,23.8068617559448,7.52839070895412,17.030402966604
133,"Fringe",10,59.8,41.0008130000695,12.9655954998861,29.3302147300115
134,"Midlagoon",10,96.6,10.7517440445725,3.4,7.6913343535139
136,"Midlagoon",10,76.3,22.7354348979737,7.18957578720747,16.2639503645119
139,"Fringe",10,83.2,32.4715259881638,10.2683981223947,23.2287303630389
144,"Midlagoon",10,69.8,39.9271558939248,12.6260753117419,28.5621667044865
145,"Fringe",10,66.2,22.3348258207769,7.06289207367948,15.9773718945447
146,"Fringe",10,69.7,29.3524558881649,9.28206155262217,20.9974820267981
148,"Midlagoon",10,93.2,14.3356587260967,4.53333333333333,10.2551124713519
150,"Fringe",10,73.1,34.5139263357722,10.914261821631,24.6897755564575
152,"Midlagoon",10,83.2,28.5026314574637,9.013323471395,20.3895542514334
159,"Fringe",10,73,26.4826987547216,8.37456466530251,18.9445814429308
160,"Midlagoon",10,66.4,31.5848064739995,9.98799279134702,22.5944094349225
163,"Fringe",10,16.5,23.3345237791561,7.37902432574931,16.692512732956
166,"Midlagoon",10,83.3,36.0556668376985,11.4018029763328,25.7926702717251
175,"Fringe",10,36.5,39.8615660059216,12.6053339679853,28.5152465251415
176,"Fringe",10,100,0,0,0
182,"Midlagoon",10,86.5,23.519495459441,7.4375175069822,16.8248335018568
186,"Midlagoon",10,89.9,22.6688724416936,7.16852689035744,16.2163344517336
